Achiever,Killer,Explorer
-763.169216889129,-445.729490531395,-566.293629482618
-772.097076018354,-450.939484018833,-572.883181716776
-781.31398033489,-456.248393143095,-579.690199376213
-790.377477385994,-461.769264820289,-586.334690268873
-799.604412434927,-467.154218027127,-593.284404491711
-807.987155723713,-472.14683384141,-599.493434481824
-815.344611383736,-476.46438552708,-604.643634762867
-821.788050275021,-480.320376741131,-609.284285423515
-827.587126262522,-483.666490952611,-612.905183904002
-833.461246460004,-486.775512602241,-616.912046881398
-838.429738163142,-489.742435727891,-620.960869402424
-843.555297131273,-493.084774714612,-625.342973461876
-848.701668054376,-496.058574000952,-629.399396396094
-854.709989411225,-499.423223542204,-633.220725424925
-861.362480373904,-502.853290137898,-637.633565001548
-867.995753181768,-506.862658700615,-642.27789827057
-874.493510586008,-510.767472337271,-647.261957488157
-881.631571683068,-514.803813540117,-652.843651744674
-889.08154541978,-519.062084370972,-658.627505719655
-896.216994181161,-523.658883929141,-664.340758481336
-903.679498701908,-528.101877859312,-669.789321430873
-911.114423810128,-532.5963068219,-675.35380912677
-919.095314426208,-537.452416351937,-681.613051322056
-927.186962084391,-542.238858851751,-688.136105294404
-935.297644934023,-547.136343235744,-694.375162292141
-943.639350423227,-551.948407778203,-700.758319004699
-952.343238006343,-556.996565940848,-706.972160760686
-960.901521773621,-562.227079094436,-713.35285909791
-969.017483271857,-567.409829843387,-719.886736749053
-977.566975442737,-572.359331616003,-726.442199246521
-986.289319966809,-577.666819880609,-732.840554931906
-994.774788085985,-582.920283037477,-739.23363453955
-1003.42404995134,-588.319002009188,-745.981633125719
-1012.7532803279,-593.734187180878,-752.601369497993
-1022.25790266174,-599.214899092129,-758.895974611319
-1031.14332195011,-604.630626730848,-765.389727226866
-1039.80001354697,-610.023943793104,-772.112784993795
-1047.98449221264,-614.894885154668,-778.253557732193
-1055.68056577743,-619.505834864118,-783.867300432585
-1062.59998712636,-623.159752391935,-788.960652792658
-1068.66187523279,-626.605520635925,-793.436183496221
-1073.82325650568,-629.693153345486,-797.322287443083
-1078.96584202923,-632.836534163282,-801.01327541746
-1084.58772737621,-636.068164716861,-805.58725494954
-1090.04832037311,-639.26848714161,-809.458060898467
-1096.6543403133,-642.758602828165,-813.977836656361
-1102.74536615154,-646.627981746168,-817.985785199997
-1109.24997832449,-650.540618050267,-822.544783238789
-1115.9297053686,-654.444649330427,-827.641824703061
-1123.17006028462,-658.605708156476,-833.039421362771
-1130.63634883431,-662.865079153315,-838.341731705398
-1138.36725203423,-667.339935476013,-844.002310705603
-1145.97903181493,-671.701106265459,-849.903077898537
-1153.76686557886,-676.043349055523,-855.87511090699
-1161.67994235947,-680.72234125044,-861.934138396185
-1169.75086022917,-685.576788356942,-867.782261531825
-1177.34042826099,-690.448105757015,-873.524382724115
-1185.80592806172,-695.57539751651,-879.717072935218
-1194.60696613986,-700.659801579084,-885.978214067647
-1203.00166534139,-705.730087729371,-892.066045247705
-1211.00726926004,-710.711081424664,-898.462578756489
-1219.49916968444,-715.842893037994,-904.917148265042
-1228.72646443233,-721.191745487098,-911.296420486945
-1237.9819068327,-726.723759768912,-918.015965540588
-1247.07840541272,-732.048730959159,-924.488110478288
-1256.15638016309,-737.554338019644,-930.934215244128
-1265.1975880243,-743.221508038507,-937.694674366919
-1273.9107679679,-748.697013068296,-944.478772610213
-1282.36087891794,-753.886621126583,-951.353604068088
-1291.40732207439,-758.53482193034,-957.775056509699
-1299.47614049631,-762.860724525505,-963.180789190973
-1307.10973476611,-766.819523309092,-967.837122289269
-1313.39173744336,-770.70939384766,-972.157838722906
-1319.16071826996,-774.040738815498,-976.136306202897
-1324.74884148004,-777.403417373553,-980.534238341792
-1330.78754977484,-780.644466632405,-984.572093256349
-1336.89489606916,-784.132638445579,-988.66003578867
-1342.70349815945,-787.659424665646,-993.206230155748
-1349.17897003952,-791.13994678761,-997.643063809383
-1355.55125932198,-794.678643277918,-1002.50158847148
-1362.42093223438,-798.736925759235,-1007.73636133846
-1368.95848619912,-802.732349339583,-1013.37415191349
-1375.67824963162,-807.013086789751,-1019.14491111209
-1383.04427123925,-811.461671536811,-1024.81909561587
-1390.33000399748,-816.123579786265,-1030.71115665285
-1397.93439151979,-820.985913910797,-1036.32365997762
-1405.8409969551,-825.845265936883,-1042.1979998977
-1413.79357408967,-830.834498981315,-1048.13340667068
-1421.74314112796,-835.740464384021,-1054.37490613554
-1429.80984242075,-840.839156574559,-1060.97732785251
-1438.128974465,-845.857170846294,-1067.12232530351
-1446.28594587627,-850.803085422684,-1073.46194408847
-1455.09235990711,-855.97109543609,-1079.94542760298
-1464.07363329753,-861.347607306299,-1086.62210623645
-1473.14535397623,-866.741609569695,-1093.10529636001
-1482.15593397191,-872.004277497881,-1099.71166940509
-1491.31410143664,-877.507039368034,-1106.38668285834
-1500.11588995896,-882.808029486184,-1113.16375981856
-1508.70002462161,-888.486452526727,-1120.52735800537
-1517.73853690219,-893.670621135847,-1126.96579560075
-1526.28034606625,-898.596571283603,-1133.27910583445
-1534.24429799705,-903.407746203374,-1139.62725400214
-1541.84850159759,-907.825726777564,-1145.12291473495
-1548.9916830442,-912.205433067133,-1150.34230636455
-1554.88067279797,-915.95410408943,-1154.78931767861
-1561.54256114508,-919.372759290353,-1158.91971705978
-1567.95724378061,-922.857175390339,-1163.13881880747
-1573.71104601949,-926.305595491955,-1167.34506970068
-1579.96504164473,-929.789264334802,-1171.68350241672
-1586.28731415066,-933.223681177029,-1175.83975249564
-1592.6303446772,-936.782244431443,-1179.76642774476
-1599.09131694312,-940.546834841178,-1184.46391917752
-1605.1679957398,-944.496689692793,-1189.38037264029
-1612.34754227004,-948.696059439654,-1194.3318613823
-1619.59665909697,-952.913639021471,-1199.80788569374
-1626.85340155268,-956.903875649893,-1205.38600213358
-1634.42987719854,-961.391677270373,-1211.42978754385
-1641.94779749336,-965.923782679183,-1217.12699940048
-1650.10088120399,-970.731293287081,-1223.17260811875
-1657.93630583864,-975.630825181825,-1228.75711034711
-1666.47571905097,-980.470843947591,-1234.54515939491
-1674.69193317997,-985.613100542227,-1240.88877604589
-1683.41623751286,-990.430862146435,-1247.55369584186
-1692.01772166657,-995.332583196661,-1253.76752390328
-1700.67788608477,-1000.63206209521,-1259.84447646853
-1709.36048823177,-1005.89597121082,-1266.5129427435
-1718.64392226576,-1011.07961540929,-1273.00556620827
-1727.60122668654,-1016.19813569463,-1279.20670527405
-1736.78911994313,-1021.42490680698,-1286.1533660502
-1745.73515414848,-1026.80894707426,-1293.30320346527
-1754.33645804047,-1032.05026909823,-1300.19779516189
-1763.44111661453,-1037.3434894196,-1306.35851502255
-1771.90208378107,-1042.47968052532,-1312.81445439924
-1780.19777891539,-1047.18490846984,-1318.34326267091
-1788.04038625347,-1051.68638081244,-1323.54934218241
-1794.58620857673,-1056.03425453884,-1328.42577350015
-1801.56694721619,-1059.93546677321,-1333.71447819378
-1807.60752011907,-1063.36221843308,-1338.58807995022
-1813.48761040697,-1066.74539086609,-1343.23091042723
-1819.50365463588,-1070.28702205762,-1347.75613887584
-1826.07607052243,-1073.99298484324,-1352.74641640042
-1832.52341964928,-1077.68027397934,-1357.73971679585
-1839.34403203539,-1081.40788194464,-1362.63899317128
-1845.19462234306,-1085.00857257211,-1367.56873476955
-1852.22958967506,-1088.49633793617,-1372.31839364176
-1858.43462154032,-1092.38756701564,-1377.12850956722
-1865.69481404373,-1096.65157643511,-1382.58101052121
-1872.81964206504,-1101.22570707672,-1388.11414527384
-1879.58477193048,-1105.67370372985,-1393.28695029363
-1886.58174846632,-1110.28115542146,-1398.89075928042
-1893.99440006246,-1114.95892746999,-1405.0877073073
-1901.52429224464,-1119.57869755065,-1411.08743109535
-1909.3102862398,-1124.47959232079,-1417.22012257234
-1917.59068057537,-1129.39854424064,-1423.16863307813
-1926.0787066278,-1134.2586533664,-1429.07063135837
-1933.9420925073,-1139.33653273354,-1435.36936992077
-1942.34839460516,-1144.44983006094,-1441.8245528326
-1951.13393905653,-1149.53644644126,-1448.41637801333
-1960.08639129793,-1154.51685400554,-1455.2615439376
-1968.80304380651,-1159.66255409558,-1461.99118045543
-1977.1714208068,-1164.97622420525,-1468.59991679631
-1985.85752108563,-1170.15074615263,-1475.32050081611
-1994.88187535632,-1175.1965148901,-1482.02294443616
-2003.31138999268,-1180.40442462889,-1488.46436854894
-2011.5791994124,-1185.50830152601,-1494.75758665367
-2020.16069313875,-1190.13828514362,-1500.53615388936
-2027.7994598457,-1194.57981428953,-1505.93786460208
-2035.27327207023,-1198.77965911625,-1511.21888631609
-2041.68338776765,-1202.72483117571,-1516.57840801113
-2048.26822972813,-1206.53558806298,-1521.44309467743
-2055.09666657698,-1209.94181288929,-1525.84944080398
-2061.28450784191,-1213.58177522484,-1531.06892394029
-2067.63353265107,-1217.46615604842,-1536.24641245963
-2074.37744544195,-1221.34874840439,-1540.79764658747
-2080.58278554595,-1225.37129758573,-1545.4816636802
-2087.37026698289,-1229.105087682,-1550.11546815245
-2094.43234785783,-1233.04577507761,-1554.97485418059
-2100.791731171,-1237.22615295379,-1559.96503307522
-2108.22030020615,-1241.42460050222,-1565.23507409002
-2115.57211159061,-1245.4380120719,-1570.18401790865
-2122.86324060528,-1249.75559383968,-1576.09843179011
-2130.49639563364,-1254.36146505693,-1581.65197518507
-2138.57275738482,-1259.10350311599,-1587.62178808893
-2146.45758402265,-1263.8767230418,-1594.06490790073
-2154.16669011344,-1268.7019289164,-1600.56764347814
-2162.31058059568,-1273.67215186904,-1606.57399191855
-2170.77991007919,-1278.81439655783,-1612.967049317
-2179.87115026618,-1283.83283088965,-1619.35263802313
-2188.82305807699,-1289.18288074324,-1625.70477583024
-2197.81177089223,-1294.49737676415,-1632.7232401081
-2206.27550726803,-1299.80278901113,-1639.65459455078
-2214.89360937768,-1305.1742833524,-1646.37319217471
-2224.04243124358,-1310.2905260573,-1653.23842454539
-2232.62474049771,-1315.46364146795,-1659.36624975367
-2241.65969312036,-1320.6908122406,-1666.09021989418
-2250.12555167151,-1325.90069466978,-1672.78222943774
-2258.65682408341,-1330.86730131439,-1678.84535291325
-2266.76303197211,-1335.68102790977,-1684.39270413917
-2274.68321506499,-1340.39511949738,-1689.82838096333
-2281.90398983517,-1344.73061423801,-1694.75115953801
-2289.05912435603,-1348.72287112554,-1700.18988398622
-2296.00540679037,-1352.62874471866,-1705.06838171869
-2302.37496724228,-1356.12737331868,-1709.95291815994
-2309.05858664148,-1360.00379322472,-1715.22490651374
-2316.2831227019,-1363.68811665969,-1720.16205613262
-2323.1018026995,-1367.43145809317,-1724.90468307497
-2329.43515708401,-1371.34150345374,-1729.96554735619
-2336.18841410293,-1375.10131998301,-1734.90873042464
-2343.01275724231,-1378.8943766153,-1740.01822912823
-2349.53659615531,-1382.97928798883,-1745.58293600822
-2356.54747079275,-1387.61825182289,-1750.94794691533
-2363.8300556861,-1391.99880030866,-1756.29249442147
-2371.41510576137,-1396.3800301736,-1761.69864733523
-2378.91642279994,-1400.86913104463,-1766.74102722549
-2386.63669795304,-1405.60830298034,-1772.1435443259
-2394.78848284229,-1410.28888445996,-1777.68401765511
-2402.73589544549,-1414.98973455651,-1784.17486538585
-2411.20671961218,-1419.91958760774,-1790.20214076685
-2419.4473560596,-1425.25466153178,-1796.57745372496
-2427.58348770373,-1430.82014127113,-1802.6704281521
-2435.95246718661,-1436.0412165554,-1809.13692269137
-2444.69410450117,-1441.39880894803,-1815.68212024966
-2453.36391506157,-1446.6763616883,-1822.0981945068
-2461.93916222026,-1452.05976708611,-1828.86184407959
-2470.95299886554,-1457.24551959416,-1835.39112649352
-2480.27277682545,-1462.5525222866,-1842.22147833402
-2489.49891365946,-1467.69074361317,-1849.00789013056
-2498.19782162914,-1472.69730037535,-1855.35789395211
-2506.14697045981,-1477.48340068348,-1861.86723069336
-2514.71176339393,-1482.35799308782,-1867.9733676635
-2522.51038552614,-1486.95469876347,-1873.81159321044
-2530.17204250003,-1490.96358871126,-1879.81000526963
-2537.30698633483,-1494.87155439424,-1884.90932287079
-2544.0554912085,-1498.73364777119,-1889.92873976341
-2549.90799835854,-1502.57645723889,-1894.95238285404
-2556.27159440157,-1506.18739632831,-1899.76372099331
-2562.93109354141,-1510.07028040575,-1904.56317637754
-2569.78614418748,-1514.01616426988,-1909.47564825287
-2576.23127550025,-1517.90382297172,-1913.95613956776
-2583.12462351041,-1521.92321172728,-1919.02706254813
-2590.00750475941,-1525.91398642548,-1923.68595440658
-2596.68661084774,-1529.86203570044,-1928.96665009551
-2603.38633404782,-1534.22510182351,-1934.5928135397
-2610.63250090051,-1538.64091690954,-1939.92968270682
-2618.23965845028,-1543.22669223295,-1945.60073408533
-2626.13164106506,-1547.66011588439,-1950.91665385294
-2633.83013016033,-1552.53762239095,-1956.94466416645
-2634.21061906168,-1552.59461146452,-1957.39177975161
-2633.40469794174,-1551.87928909462,-1956.51147994661
-2633.23164214619,-1552.07066717159,-1956.25951728645
-2635.61205216609,-1553.49827581759,-1957.73944194927
-2639.58687494692,-1555.88004220692,-1960.70693981552
-2645.51535403324,-1559.54850451115,-1965.46010271711
-2647.18473372105,-1560.11035103059,-1966.77134239854
-2650.23792911604,-1562.06451579287,-1969.18916701666
-2655.52916629302,-1565.40797035423,-1973.44730461474
-2662.77190618102,-1569.78798582903,-1978.45345931675
-2671.18685020949,-1574.6791531405,-1984.67628918227
-2679.81091146667,-1579.96930774234,-1991.28362744018
-2688.87351278138,-1585.21235807377,-1997.59119134745
-2691.43709325505,-1586.65326516433,-1999.33496029429
-2695.62087442419,-1588.53944168868,-2001.33941647977
-2701.56576400033,-1591.6888127015,-2005.30688430832
-2708.51535099866,-1595.32652046495,-2009.89358784197
-2715.41828591156,-1599.17415508976,-2014.98093176135
-2722.18796519218,-1603.2864701214,-2020.51143538571
-2729.59630632167,-1607.5163741544,-2026.11131993272
-2731.02067462822,-1608.23554346573,-2026.65243372039
-2733.88940804731,-1609.48924595614,-2027.67705716254
-2738.50752379967,-1612.25696010111,-2031.40424933646
-2744.12897404206,-1615.61344901906,-2035.72980501671
-2751.08800139314,-1619.30489520123,-2040.92826051469
-2758.1156577446,-1623.61562393783,-2046.32932465824
-2765.60889183797,-1628.1284832663,-2051.87065825331
-2767.03134365969,-1629.18775734137,-2053.06268288721
-2770.06337304951,-1631.26887878925,-2055.07187349085
-2775.38477512912,-1634.70324563985,-2059.49115158173
-2782.03730172432,-1638.6864304443,-2064.85500392695
-2789.80544858463,-1643.06899048191,-2070.81133245673
-2797.930411905,-1647.78394256818,-2076.71218171566
-2806.57327597135,-1652.89579789147,-2083.1141304254
-2809.32349849154,-1654.38754896412,-2084.15871733311
-2813.65118001338,-1657.15228789561,-2087.03716650164
-2819.97101721003,-1661.11076526787,-2091.95128990138
-2827.46985720111,-1665.69593872642,-2098.11709544398
-2835.53882156983,-1670.88574122858,-2104.70709610435
-2844.26379176994,-1676.29045060723,-2111.31829013426
-2853.59341594886,-1681.77378118595,-2118.21481422049
-2856.71647747949,-1683.68057395019,-2120.85919848511
-2861.39808392566,-1686.21046493476,-2124.24147530282
-2868.12223740574,-1690.22116609914,-2129.15758620288
-2875.86484792476,-1694.65279714741,-2134.79993745703
-2884.25640698375,-1699.54542871985,-2140.74389630924
-2892.95012835396,-1704.35456126833,-2147.42310621767
-2902.17050609704,-1709.06363254443,-2153.12618733262
-2904.08626621432,-1709.81265177677,-2154.14675012067
-2907.07024462607,-1711.42383099523,-2156.47118028865
-2912.17182857281,-1714.59756132804,-2160.64054112278
-2918.34446255736,-1718.16905218186,-2165.47331695101
-2925.20907503009,-1721.88839212578,-2170.68421749217
-2931.97004072177,-1726.06092140321,-2175.85783541722
-2938.82284019368,-1730.31742314391,-2181.58504255297
-2944.22371851982,-1733.57583685002,-2185.49983892317
-2950.17886918753,-1736.9224677708,-2189.68757109546
-2956.34868345498,-1740.62138880202,-2194.66925817072
-2963.36198431049,-1744.62395181498,-2199.65894222705
-2970.84200180035,-1748.851298335,-2205.31484738998
-2978.41806545169,-1753.23054959836,-2210.76830438849
-2985.99349204478,-1757.92553389456,-2215.96800674657
-2993.24283684125,-1762.45059741423,-2221.24175734805
-3000.45301183168,-1766.96677664701,-2226.8650915792
-3007.85210670947,-1771.425651655,-2232.5154597903
-3015.52545924236,-1776.12438824357,-2238.31319716342
-3023.66664717913,-1780.97315109163,-2244.76788834735
-3032.45218679645,-1786.01010664607,-2250.89809103272
-3040.99547099585,-1791.24376543335,-2257.31325048424
-3049.46760308141,-1796.23458850946,-2263.35849229952
-3057.99702944155,-1801.23049067503,-2269.38135579028
-3067.12417823647,-1806.32146098702,-2275.55402693175
-3075.42132839983,-1811.32619769716,-2281.83546298137
-3084.18390747095,-1816.41385213994,-2288.73310715317
-3092.94190584997,-1821.51664393226,-2295.28417933868
-3101.83696508359,-1826.56561079808,-2301.57055448797
-3110.32365080813,-1831.41819989083,-2307.57242066525
-3118.78817998454,-1836.10587598932,-2313.68588434712
-3127.00983265842,-1840.67107219689,-2319.59871214751
-3135.05028774843,-1845.01081728859,-2325.49813790322
-3142.49846112113,-1849.50172352811,-2331.48133411893
-3149.66951501802,-1853.73864789319,-2337.76694235881
-3156.51186654431,-1857.83245497414,-2343.12331481841
-3162.78949086598,-1861.98185296809,-2348.13963747046
-3169.02698833259,-1865.66630171072,-2353.09923582487
-3175.28549426911,-1869.38120252889,-2357.75072172217
-3182.01215743965,-1873.11554281798,-2362.22549474306
-3188.62705514107,-1876.92061520192,-2366.93707791012
-3195.4355174754,-1880.79949575637,-2371.77846924675
-3202.74929231059,-1884.66986043022,-2376.75595728233
-3209.53556734774,-1888.52620363244,-2381.73448745854
-3216.00923499073,-1892.57366412544,-2386.55561855185
-3223.23179728173,-1896.53745506807,-2391.60690727633
-3230.47514631323,-1900.66963660666,-2397.09006072658
-3238.13245276199,-1904.82177227163,-2402.80920878983
-3245.04848454941,-1909.34315936461,-2407.72668695669
-3252.56493987493,-1914.15511133674,-2412.98194181002
-3260.38424257743,-1918.66462017683,-2418.73118997362
-3268.53395999257,-1923.29201059648,-2424.89015432147
-3276.37005893673,-1928.31803221766,-2430.5539611025
-3284.48358705367,-1933.16330067686,-2436.78281179811
-3292.66416374345,-1938.00781448772,-2442.99525053205
-3301.44116619069,-1942.77521906231,-2449.31830566384
-3310.12345306163,-1947.80729141469,-2455.62986864073
-3318.82612248892,-1952.83235579338,-2461.90348906968
-3327.14612627225,-1957.95046444503,-2468.18578995884
-3335.24560871075,-1963.10393206621,-2474.25567187026
-3343.45782199041,-1967.82923432107,-2480.58863700161
-3351.49062101832,-1972.7713978545,-2486.23288531753
-3359.96307667748,-1977.79583455836,-2492.50426727393
-3368.10576550218,-1982.4154167508,-2498.64586321596
-3376.02048752889,-1986.84396725892,-2504.47802959266
-3383.7633232927,-1990.82067129732,-2510.42194221315
-3390.92353600885,-1994.87745314996,-2515.6667343449
-3397.92742558465,-1999.11628836271,-2520.70731263268
-3404.73920522874,-2003.0783662802,-2525.98817351186
-3411.33973522882,-2006.9946001991,-2531.25208890449
-3418.60355313852,-2011.00380302033,-2535.70751636139
-3425.31772957293,-2014.65131747548,-2540.82230675567
-3431.85164686643,-2018.75077064743,-2545.9602512221
-3438.71587450338,-2022.60931897153,-2550.45727223135
-3445.16009320021,-2026.45601491753,-2555.25495267785
-3451.94068741966,-2030.43588006727,-2560.49868307434
-3458.71365136784,-2034.41547073383,-2565.85631192441
-3466.0114176444,-2038.57981486161,-2571.83272359385
-3473.29443837782,-2042.67066318478,-2576.92602856665
-3480.68361997779,-2046.93263936651,-2582.30629826891
-3488.22232787211,-2051.65578314406,-2587.7333867962
-3496.00853943476,-2056.35292892231,-2593.1120341863
-3503.56786629231,-2061.19252934001,-2598.80729444153
-3510.81350540076,-2065.70585560306,-2605.30480864419
-3518.61603154737,-2070.63269596578,-2611.88666080163
-3526.47014812862,-2075.30966802148,-2617.38103641323
-3534.58639835482,-2080.32295520376,-2623.47781718438
-3543.19642662743,-2085.43792929336,-2629.94785650417
-3551.45597569492,-2090.71000817535,-2636.27996574818
-3559.45009556587,-2095.80724783544,-2642.34400090997
-3567.82591324491,-2100.83497171752,-2648.1495448395
-3575.69524850501,-2105.83024220651,-2654.63543039372
-3583.95717950727,-2110.93871264556,-2660.8828676586
-3592.31164542929,-2115.98703762515,-2666.93654296024
-3600.19474936997,-2120.8159636709,-2673.21972579977
-3608.24094813537,-2125.44605371403,-2679.4974791512
-3616.36021416228,-2129.89523691797,-2684.79320493684
-3624.18569233743,-2134.20155593814,-2690.40502358939
-3631.71017933183,-2138.49478412975,-2695.85597282846
-3638.89953510553,-2142.58502969859,-2700.81342215791
-3645.45672034131,-2146.78913344856,-2706.47612673767
-3652.57781991536,-2150.73511678333,-2711.36872461243
-3659.4913079081,-2154.53895595449,-2716.45903565648
-3665.76332956468,-2158.34502969821,-2721.23349110718
-3672.49239876273,-2162.22448619299,-2726.14347935444
-3679.26005757362,-2166.12900219036,-2731.16947932459
-3686.30069599058,-2170.07158432562,-2735.8488223797
-3692.38852165154,-2174.13530772373,-2740.97750685617
-3698.52366822861,-2178.14420650551,-2746.44066558155
-3706.00517792626,-2182.34137620168,-2751.74816425656
-3713.40030571667,-2186.65675947279,-2757.18883516635
-3720.54956976629,-2191.22578435494,-2762.61177241989
-3728.07384750494,-2195.64977657162,-2767.35946039227
-3735.41853376428,-2200.41808143172,-2772.99386580486
-3743.49930318649,-2205.10136451792,-2778.78869686603
-3751.77206444222,-2209.8036268508,-2784.42909199698
-3759.98279529027,-2214.7096241077,-2790.33409325436
-3768.12166574358,-2219.66826243834,-2796.59852808168
-3776.26737456473,-2224.66772733023,-2802.78189076609
-3785.13264439012,-2229.61688115261,-2808.95885591112
-3793.95441506871,-2234.4125367425,-2815.21095709271
-3802.54140410426,-2239.42843951793,-2821.79734094513
-3811.6056940587,-2244.39482278927,-2828.19108530578
