Hardcore,Midcore,Casual
0,0,0
0,0,0
18.6668066433143,14.1463706825842,10.4897861433862
25.5761847545577,19.4485626746026,13.6165802546286
29.998917807248,22.4202271754417,14.8257948816172
32.6855351816478,23.1090386645599,14.261113731614
33.103942634198,21.8256481015836,11.9356933274455
31.3602376031636,19.1691954536591,7.93944488963938
28.2169667537748,15.3940462608933,2.90992211757324
24.318214893966,10.5696517629167,-2.9203607677627
24.1030540494463,9.73052207683525,-4.56020034713433
22.3579419512948,7.59447064391085,-7.71514133731459
18.8831468859868,3.64149983117442,-12.7023771598608
13.8584064073425,-1.57872309346112,-18.6890170427668
8.52991082526574,-7.19259791060507,-25.2330824183899
2.54702985507443,-13.3857259876456,-32.053892418421
-4.0806457144055,-20.0875444280757,-39.2021211858951
-5.61013407034234,-21.7245739969116,-41.5951951407757
-8.48702702274433,-24.8844354584033,-45.3877562717608
-13.1552213186156,-29.7895540435168,-51.0213690573382
-18.8563744978718,-35.6310161749435,-57.4514755921764
-24.9807347068555,-41.9627039608977,-64.5026217658674
-31.641810666406,-48.836174201419,-71.887089520728
-38.6994215535619,-55.9408513033029,-79.454221699021
-40.7477461069289,-58.5114543104547,-82.336803537458
-43.8904742728044,-62.0544335104332,-86.4372152246772
-48.9544792331809,-67.3837656157585,-92.1930521095241
-55.2048418831756,-73.5143739670068,-98.9262824112514
-61.9989970465029,-80.2895221492812,-106.105031701167
-68.9975341351116,-87.5442883011206,-113.662892959709
-76.3122052216068,-94.9113218447173,-121.394967870234
-78.6761014383268,-97.4048432928407,-124.524823071809
-82.4215063341295,-101.158102315598,-128.765274096491
-78.9299365376594,-101.044339811549,-132.049911505973
-78.4246921979647,-102.549406323732,-136.346366820042
-80.3171728575157,-105.276316694644,-141.316470955718
-83.1642376184752,-109.094415017134,-146.893833177268
-86.9820950879928,-113.656785851194,-152.862460393196
-86.1940026889601,-113.951846075888,-154.235715599082
-87.1510843692759,-115.970758794536,-157.103330363741
-90.3652622036439,-119.734890061718,-161.829454216131
-94.8809602583487,-124.854221491565,-167.730809522997
-100.278218322006,-130.458580334279,-174.090644859361
-105.800075773656,-136.379499155113,-180.937572672682
