Achiever,Killer,Explorer,Socializer
-563.117965943617,-337.723289789752,-461.948424734447,-318.150649469102
-572.44923560394,-343.315078893373,-469.370452493731,-323.039698684887
-581.7441903998,-348.865733744,-476.650225738245,-327.996974164087
-589.116023795323,-353.466255875029,-483.106687283625,-332.390208301023
-594.973349020713,-357.161344791807,-488.775572045226,-336.285604995498
-600.035543855295,-360.609325098652,-494.208135666043,-340.295664888606
-605.47238545835,-364.059128109871,-499.628202612072,-344.31055818182
-611.485851873926,-367.554281713181,-505.028760890078,-348.096650489619
-617.814548646599,-371.195701150359,-510.566515882413,-352.015326458471
-624.074201737064,-374.77860588335,-516.144490919563,-355.825632694657
-630.667296522138,-378.547478286343,-521.727600368906,-359.680026049342
-637.450862745041,-382.450979536708,-527.508887786714,-363.629806177186
-644.30730563834,-386.443683169431,-533.144885692515,-367.592350696136
-651.799527641366,-390.527862892739,-538.836871877411,-371.351167986054
-659.307737412659,-394.806660297763,-544.79177159707,-375.299937571347
-666.779359826761,-399.306570594726,-550.817762254725,-379.477048785209
-674.510454489589,-403.907720234484,-557.041872282891,-383.552339227451
-682.095021183549,-408.672801773752,-563.087859759788,-387.785516496782
-689.702065244058,-413.3920790411,-569.401251832157,-391.888740142181
-697.760252022978,-418.303989239288,-575.725142618381,-396.246024349718
-705.971448783512,-423.099395699251,-582.088273714039,-400.723601367997
-714.208092963849,-428.009456866403,-588.69780053442,-405.036667458424
-722.778428716418,-433.183108620839,-595.383945653083,-409.627435942569
-731.227700914654,-438.274906239881,-602.077433500899,-414.04198943856
-739.994357203828,-443.298192491931,-608.761029553591,-418.621509688851
-748.666519097422,-448.449616282288,-615.559860699114,-423.165463399768
-757.492289470542,-453.676102217807,-622.38882258118,-427.951071629364
-766.566467528677,-459.047188292371,-629.121049723179,-432.673583043769
-775.638076127698,-464.40572807728,-635.969089063934,-437.328501147654
-784.528695646635,-469.774431088734,-642.883174977636,-442.123761114415
-793.713921616779,-475.145874672271,-649.886800436946,-447.024082272104
-803.007475771301,-480.458767677344,-657.010491313688,-451.835699397799
-812.087929030545,-485.988673366055,-664.179707558343,-456.600608619219
-821.470407746341,-491.53905939159,-671.27522904463,-461.397006238663
-829.678329060885,-496.545505158856,-677.974696381318,-465.921794999319
-836.892653939621,-500.897479333275,-684.308840558834,-470.287460635983
-843.03498997036,-504.834445283286,-690.046637696677,-474.291175229104
-849.434893096625,-508.592360037329,-695.779976182863,-478.232855823096
-855.698857372112,-512.382750062448,-701.641552107252,-482.232289416994
-861.731939342045,-516.075598898699,-707.497598458669,-486.474725050594
-867.837131464419,-519.983233550423,-713.347469840529,-490.537180693796
-874.461421116654,-523.731393895517,-719.241944047169,-494.794783417491
-881.547559337882,-527.680181897503,-725.070759501698,-498.954202104844
-888.438389772811,-531.580622565874,-730.726488833606,-502.861530540671
-895.542949450394,-535.797162342148,-736.565302475899,-506.79265409536
-902.639442509761,-539.964349354343,-742.340625458059,-510.664590233122
-910.091432542139,-544.259109584536,-748.441091178115,-514.696673496483
-917.666442710863,-548.676552185834,-754.387079367908,-518.960142218807
-925.340655665997,-553.375109536515,-760.479583952827,-523.165706295675
-933.173142150309,-558.034542535506,-766.625758494155,-527.59385080169
-940.960094367864,-562.63850676479,-772.716519975439,-531.9762331963
-948.887636066967,-567.384683083345,-779.034185623173,-536.342222320782
-957.162440167998,-572.199469086596,-785.419750382072,-540.715831132832
-965.494395564579,-577.13262830685,-791.874518408764,-545.084496698071
-973.877142460792,-582.021943593531,-798.608391771643,-549.565097074095
-982.603272696503,-587.144715347775,-805.283454498228,-554.134088110444
-991.185323746463,-592.265696833933,-812.000252662851,-558.752062681533
-999.74862029884,-597.540916747963,-818.695585747195,-563.291609310228
-1008.54531883918,-602.540893362216,-825.495856680617,-567.836367314993
-1017.64196192888,-607.897191397483,-832.205214116719,-572.560615238377
-1026.36564039486,-613.268203831828,-839.066657499992,-576.972286245135
-1035.17135759288,-618.569966725987,-846.03742876682,-581.749784825072
-1044.2484227745,-624.031329687639,-853.125855368465,-586.563149061772
-1053.45829762429,-629.454931835078,-860.16232630097,-591.294907115195
-1062.43203779721,-635.030842648478,-867.256562638521,-596.053714531654
-1070.8569694966,-640.359896555633,-874.309471175768,-600.764833728076
-1078.6095949363,-644.998078313944,-881.050279499264,-605.404542559177
-1085.20364823172,-649.313707269213,-887.139694031348,-609.665828427238
-1091.80929535531,-653.412611424869,-893.29563269075,-613.865320841914
-1098.2051992119,-657.341704217289,-899.372745903083,-617.910157125682
-1104.28019498532,-661.01359785691,-905.202837486759,-622.067784745408
-1110.66904924579,-664.907914044983,-910.936826444301,-626.454467962438
-1117.4448635242,-668.82791151783,-916.961804844561,-630.901538730543
-1124.21398262514,-672.741434081682,-922.948332312468,-635.336217202205
-1131.39136037856,-676.737967946639,-929.10100694307,-639.51043892711
-1138.53194226105,-681.025408668265,-935.132375070035,-643.761253538187
-1145.80536638353,-685.309365711934,-941.184216654887,-648.105173210388
-1153.17230521132,-689.722685083716,-947.122613077907,-652.544071615357
-1160.96108012123,-694.11863868395,-953.365037524556,-656.796306650376
-1168.7049791798,-698.600682596005,-959.531331678379,-661.041990086597
-1176.38849049284,-703.278055962198,-965.91132915941,-665.444425720872
-1183.9758060129,-707.863145098975,-972.068809125166,-669.766113609218
-1192.05218515136,-712.46544802764,-978.120562952467,-674.089669905056
-1200.25132381302,-717.275249391113,-984.482957378131,-678.42263537577
-1208.44915841482,-722.250597505662,-990.978971116869,-682.604100230354
-1216.66009038619,-727.28246033816,-997.465087041707,-686.884763849044
-1225.16074702772,-732.362943117077,-1004.03643769456,-691.343738784876
-1233.71421963319,-737.495853264389,-1010.58702321156,-695.901412989653
-1242.22501676828,-742.634090661119,-1017.29083570499,-700.39580041647
-1250.63744990921,-747.679132561301,-1024.02760485552,-704.963476525525
-1259.30723712968,-752.960088202457,-1030.80685067694,-709.637265215255
-1268.29391594863,-758.350558342526,-1037.5621017445,-714.369990580456
-1277.27543330159,-763.776863633432,-1044.4155799941,-719.09713057582
-1286.29972582358,-769.217211008652,-1051.18719272879,-723.73822187573
-1295.3223093953,-774.84237216688,-1058.22984523775,-728.368919997131
-1304.58320196959,-780.414986206332,-1065.16451111988,-733.132640859511
-1313.20043227252,-785.710374297599,-1072.10758565895,-737.668032999051
-1321.23725171586,-790.594440866138,-1078.74941839284,-742.19333999928
-1328.83282467621,-795.074493002425,-1085.18649965645,-746.493769179693
-1335.65193651026,-799.399769261736,-1091.24799336595,-750.878780019036
-1342.11058041258,-803.593963444601,-1097.29401411899,-755.070224756216
-1348.76042119151,-807.804796719025,-1103.42595202558,-759.46784574966
-1355.42981396318,-811.765417000499,-1109.4747969079,-763.800400468099
-1362.17732793509,-815.779166211434,-1115.57805313012,-768.054150506488
-1369.43538315927,-819.833746374137,-1121.72889187588,-772.532483843882
-1376.70434101614,-824.028192199537,-1127.93033546972,-776.787110760282
-1383.84302447115,-828.206862273292,-1134.04918239709,-781.222869469412
-1391.476288362,-832.448527071887,-1140.23914444645,-785.640404161522
-1398.95666084507,-836.586682878909,-1146.43065945409,-789.950327008169
-1406.80792384086,-840.915158569108,-1152.74664051714,-794.517808440601
-1414.57907022562,-845.373282432608,-1159.00957191406,-798.998312962078
-1422.22322964219,-849.866703041686,-1165.38926335134,-803.5798104353
-1430.28029653733,-854.51771948629,-1171.78734221867,-807.903966848432
-1438.4310107429,-859.332577140058,-1178.25618110134,-812.299566394593
-1446.51891141293,-864.315655823549,-1184.69161220297,-816.740274274241
-1454.75369594751,-869.389110536252,-1191.28935610102,-821.314915082973
-1463.02153846155,-874.401654641515,-1197.73727144065,-825.828101070075
-1471.36347317149,-879.367869767156,-1204.3404780382,-830.120751444493
-1479.5841560086,-884.537058926117,-1211.00527898226,-834.699098643133
-1487.88026993841,-889.609029522136,-1217.43026045535,-839.217309010249
-1496.20267556664,-894.594164703483,-1223.98559185987,-843.582729359393
-1504.80148234763,-899.751792376186,-1230.66853393529,-848.123999931513
-1513.75266702626,-905.041009144162,-1237.3532748274,-852.775388905486
-1522.6016465117,-910.342848228611,-1244.09962193212,-857.35064925643
-1531.42855379538,-915.684395366452,-1251.06314732251,-862.030588408683
-1540.40805621935,-921.098474905742,-1258.19616697818,-866.775995307172
-1549.35494807187,-926.296769977827,-1265.19337328686,-871.337146877899
-1558.06286671505,-931.754285120572,-1272.31642736723,-875.745424868957
-1566.31930907078,-936.732811656692,-1278.99668946106,-880.172236655657
-1573.94195801028,-941.414980709686,-1285.35243097419,-884.584680541916
-1581.1641616263,-945.968100864951,-1291.74885314683,-888.793258009076
-1587.99460447485,-950.299568602499,-1297.97671738266,-893.141576296614
-1594.48933413832,-954.580622892905,-1304.1124108405,-897.236992818616
-1600.64825615104,-958.675380030896,-1310.19110589793,-901.366894946501
-1607.53862322677,-962.826942997862,-1316.08715013168,-905.391464384856
-1614.50654081296,-966.993470076891,-1322.32336361577,-909.702521618672
-1621.51194661526,-971.151968027551,-1328.57531576246,-914.115386335251
-1628.63064164328,-975.444727971859,-1334.84218134581,-918.309256216017
-1635.88226701759,-979.650646505539,-1341.10924899893,-922.68121236747
-1643.41438041428,-983.99276465319,-1347.4198339497,-927.041858064701
-1651.05368438122,-988.428559757989,-1353.89947141133,-931.57351998857
-1658.46957677399,-992.95503381314,-1360.22203779496,-936.08560332659
-1666.2213844034,-997.466571174733,-1366.61183658833,-940.4442053103
-1674.14496841751,-1001.98848392832,-1373.08194667943,-944.859779198337
-1682.17719941294,-1006.55350955059,-1379.46318601613,-949.215568398131
-1690.0611971303,-1011.3307386719,-1385.87099354535,-953.496013735613
-1698.08666544274,-1016.01499286485,-1392.44066970517,-958.001070474845
-1706.44781353953,-1021.01315102298,-1399.03587847059,-962.558246214163
-1714.84934750791,-1025.9544368235,-1405.40927662514,-966.880778509062
-1723.46603797013,-1030.90629790784,-1411.93730464148,-971.371883675183
-1732.03182209477,-1036.05832579066,-1418.51099576263,-976.010789097995
-1740.63741205461,-1040.98634944946,-1425.14456433873,-980.652629352811
-1749.18047442704,-1046.04965815913,-1431.75764213447,-985.170109924955
-1757.85865549081,-1051.41392729208,-1438.57822451323,-989.782589045864
-1766.38241196209,-1056.78745527561,-1445.28263001096,-994.265479890658
-1775.16478475975,-1062.0262487194,-1452.07979229432,-998.715090738745
-1783.94583607017,-1067.20739370186,-1458.90210574375,-1003.45175073028
-1792.9622505215,-1072.54522278493,-1465.74351807837,-1008.2228984251
-1801.77475806342,-1077.94448639907,-1472.65441799642,-1012.90558970022
-1810.25639796569,-1083.08198253121,-1479.40352440665,-1017.38419816811
-1818.49193357416,-1088.10390690228,-1485.94720755418,-1021.7642722508
-1826.19945621096,-1092.79793917914,-1492.44455276334,-1026.08397159241
-1833.12288704487,-1097.29129386967,-1498.63450908195,-1030.22107723555
-1840.12986506871,-1101.72641595767,-1504.86186873111,-1034.65725285946
-1846.65909774286,-1106.16841601204,-1510.86156874748,-1038.85386722588
-1853.74957957846,-1110.52450479154,-1517.18432381846,-1043.16149619978
-1860.31817938718,-1114.69642248128,-1523.44532752399,-1047.52853807596
-1867.21243239838,-1118.84428111763,-1529.80804389964,-1052.0380576439
-1874.20887099561,-1123.21021250323,-1536.19403314857,-1056.58605924394
-1881.6704115514,-1127.46723958652,-1542.5709859731,-1061.21009645851
-1889.16679131961,-1131.93992493103,-1548.98804383653,-1065.58026787138
-1896.90205673286,-1136.44616020355,-1555.40743161825,-1070.00316372346
-1904.38595354222,-1140.83698761512,-1561.93172966065,-1074.62669131461
-1912.19768324394,-1145.23610513785,-1568.44730493432,-1079.42430593361
-1919.76506106643,-1149.74854732157,-1574.73067726329,-1083.87697910468
-1927.75634762986,-1154.34545124858,-1581.25788003927,-1088.54478914406
-1935.56655377163,-1159.28646849943,-1587.74902464006,-1093.20209742805
-1943.74526323083,-1164.09434152905,-1594.16819489163,-1097.48873109452
-1951.95108795662,-1168.92905752586,-1600.47907215658,-1101.75302339012
-1960.2184372103,-1173.80775193411,-1607.03251853521,-1106.23205350881
-1968.61503358359,-1178.68244016261,-1613.45272572004,-1110.68489579913
-1976.97082825841,-1183.68497303353,-1619.90030643646,-1115.1493977105
-1985.52828296148,-1188.75129275136,-1626.41325946764,-1119.6913909832
-1994.06110119833,-1193.77348358769,-1632.9413070046,-1124.05805919138
-2002.63512180129,-1198.90148276612,-1639.51416839444,-1128.50069069051
-2011.26815535628,-1204.12076224127,-1646.18808668777,-1132.98913664011
-2020.22628372952,-1209.36942280461,-1653.08791382966,-1137.47423001019
-2029.30520548188,-1214.58008627343,-1659.95855989185,-1142.04641235994
-2038.015984633,-1219.79110820368,-1666.86307382619,-1146.59886343582
-2046.63809335496,-1225.01760006316,-1673.56134372258,-1151.06662625204
-2055.09017845004,-1229.98654494091,-1680.19860796291,-1155.4810505647
-2063.07989691381,-1234.88938906451,-1686.87215659164,-1159.9009637035
-2070.69440312439,-1239.70025532986,-1693.42800407025,-1164.26885523912
-2078.14166614415,-1244.45603017855,-1699.79621718909,-1168.62037488674
-2085.49509818753,-1248.97371276899,-1705.87752056234,-1172.65247616766
-2092.3687981868,-1253.42901407402,-1711.9488460298,-1176.75338678445
-2099.33724147825,-1257.83970447172,-1718.02529780904,-1180.83641789281
-2105.98468795672,-1262.13456064617,-1724.40320740136,-1185.03312033217
-2112.94646988387,-1266.34275700997,-1730.72624926425,-1189.45577826664
-2120.09168332846,-1270.43297872374,-1736.9872348152,-1193.79008792678
-2127.27780754372,-1274.72585411584,-1743.35913099168,-1198.15701323682
-2134.66979395729,-1279.17663726704,-1749.82520398021,-1202.71140735622
-2142.23034323617,-1283.77700147537,-1756.48640227168,-1207.37606200977
-2149.85939666309,-1288.39900705861,-1763.03517294315,-1212.04397975838
-2157.84568807131,-1292.89806534398,-1769.48496305475,-1216.66390535288
-2165.99544673354,-1297.54894170118,-1776.17987620401,-1221.27222695087
-2173.70571139733,-1302.29011007473,-1782.83554656013,-1225.90008070097
-2181.73121132133,-1306.96637544934,-1789.46479388295,-1230.49037701434
-2189.99077566907,-1311.67952328452,-1796.09851813581,-1235.20376117916
-2198.12569997723,-1316.52433737665,-1802.88671573719,-1239.78053694723
-2206.60402504507,-1321.49989661104,-1809.61069917466,-1244.36476750543
-2215.1968421424,-1326.53221178643,-1816.25662191994,-1248.96334781074
-2223.8483442879,-1331.67384658023,-1823.15101732834,-1253.48553218925
-2232.52625739384,-1336.79095768156,-1830.03092692324,-1258.03756956752
-2241.33726046508,-1341.93610370656,-1836.63657153859,-1262.56150331303
-2249.98704284727,-1347.1827047659,-1843.45907497383,-1267.22473547359
-2259.039053127,-1352.30268411469,-1850.2228389271,-1271.98908889816
-2267.87410344142,-1357.6463071304,-1856.95031904752,-1276.59471626699
-2276.60947084537,-1362.85661312276,-1863.70901751794,-1281.13031820978
-2285.41974862375,-1368.10060045028,-1870.59728730608,-1285.90508643317
-2294.17373848806,-1373.53617328399,-1877.29433592247,-1290.60239198733
-2302.69549590222,-1378.72683085405,-1883.91962048934,-1295.13267905882
-2311.03183467985,-1383.76938119684,-1890.37356324317,-1299.47828868152
-2319.3186307892,-1388.75381675818,-1896.94691816203,-1304.01100156214
-2326.9301638094,-1393.54581100184,-1903.33461686562,-1308.41858332453
-2334.44532113939,-1398.03042916472,-1909.66314195306,-1312.54855018422
-2341.45832920974,-1402.67796510577,-1915.80555445922,-1316.76695459423
-2348.31164691875,-1407.18707060033,-1921.98790876971,-1320.86066249391
-2355.26944828639,-1411.52360133199,-1928.19237064646,-1324.98856916035
-2362.34787331493,-1415.95653945558,-1934.5311320048,-1329.2346431305
-2369.38792704555,-1420.2669035478,-1940.88707615338,-1333.52306162468
-2376.52654401404,-1424.3984475712,-1947.09483487996,-1337.92099887804
-2383.88031338907,-1428.84471344983,-1953.54975280931,-1342.27887016518
-2391.30410217797,-1433.16759454743,-1959.88890307431,-1346.80629938761
-2398.91865619739,-1437.53204370457,-1966.40323313588,-1351.40237130659
-2406.47089131479,-1441.99861346575,-1972.81516629213,-1355.86303275963
-2414.19615192528,-1446.51148829884,-1979.35486837764,-1360.29661544311
-2422.18370689929,-1450.99738922926,-1985.89609294213,-1364.94749042364
-2430.04102819451,-1455.69797033693,-1992.44872345691,-1369.57987570274
-2438.20936838631,-1460.55800513534,-1999.06012980546,-1374.06513496801
-2446.3055691354,-1465.31085293425,-2005.52356764934,-1378.64794154947
-2454.83154436862,-1470.07957206415,-2012.28870857781,-1383.23588162611
-2463.41056555181,-1474.93843559549,-2018.75121251338,-1387.97415304871
-2472.19134860912,-1479.92683857511,-2025.31124444771,-1392.69174163228
-2480.5980823324,-1484.82467643077,-2031.85946943715,-1397.43263749418
-2489.09999298372,-1489.80505946963,-2038.66190848873,-1402.07960719569
-2497.73624003639,-1494.82579008345,-2045.27347494027,-1406.77500183295
-2506.48064856674,-1500.12097856188,-2052.08182225508,-1411.44363818748
-2515.04395772685,-1505.39045550651,-2058.8617528609,-1416.08809597898
-2523.69571403842,-1510.60649346734,-2065.74581590975,-1420.54394586337
-2532.65569983936,-1515.93196632429,-2072.76717977544,-1425.16218812334
-2541.6392302902,-1521.12225168324,-2079.56990361815,-1429.7038232506
-2550.57515079396,-1526.37334958935,-2086.41496087492,-1434.37507276831
-2559.29976131746,-1531.47378428775,-2093.22329053487,-1438.8152263538
-2567.52499627421,-1536.42720880528,-2099.83996870261,-1443.26508601726
-2575.45868422269,-1541.31553964686,-2106.52920114723,-1447.73614930497
-2583.05749279265,-1546.10023629847,-2112.7279749266,-1452.08577771929
-2590.24629885039,-1550.65963765526,-2119.10431200921,-1456.15611248244
-2597.67120955804,-1555.44151951225,-2125.54145291192,-1460.25272687561
-2604.91770909956,-1559.99048392357,-2131.85388511384,-1464.46929239227
-2612.11389459145,-1564.36143146807,-2138.15693697617,-1468.65557173299
-2619.01580184446,-1568.65709199425,-2144.33633680726,-1472.94581062895
-2626.02652267622,-1572.90372031414,-2150.5458933154,-1476.99658967476
-2632.91284299842,-1577.29046857898,-2156.8914601313,-1481.20099298868
-2640.4690096276,-1581.68554834564,-2163.14627615483,-1485.55560593597
-2648.22352561609,-1586.23314647215,-2169.51941567855,-1489.85007240027
-2656.1096844875,-1590.75506214737,-2175.89520956102,-1494.46151293888
-2663.93218879217,-1595.15434785303,-2182.30277914389,-1499.02800586185
-2671.9628499307,-1599.74548785394,-2188.77702179975,-1503.55638799399
-2679.96886526655,-1604.36156684234,-2195.36550897756,-1507.94982389037
-2688.06643483265,-1608.93687061219,-2201.83796794685,-1512.33790445546
-2696.24743327108,-1613.75991962798,-2208.6531372052,-1516.78338676862
-2704.48181683535,-1618.66314351952,-2215.24655546963,-1521.45395454781
-2712.84784757627,-1623.61138812837,-2221.90100183167,-1526.15206839919
-2721.29164498621,-1628.47084874594,-2228.3568781805,-1530.88796851705
-2729.60014647925,-1633.53180568117,-2235.17555976683,-1535.67468452575
-2730.57996774017,-1633.96654205195,-2236.21918226793,-1536.62395904988
-2729.70277788707,-1633.47991636654,-2235.76764221774,-1536.36266604814
-2730.05166673684,-1633.61433311109,-2236.10737193987,-1536.70469194802
-2732.68288450591,-1634.89754386501,-2238.04507388307,-1538.38082689445
-2736.81507797882,-1637.36124607603,-2241.41929553906,-1540.62703876746
-2742.73440505961,-1640.88238382928,-2245.95788845823,-1543.64118786495
-2744.36812307123,-1641.62126653166,-2247.07470825628,-1544.60246209877
-2747.63741942156,-1643.59782847767,-2249.55127077564,-1546.41311128899
-2752.98123415385,-1646.90448216714,-2253.71083175984,-1549.02214646659
-2759.61037499336,-1650.93470085807,-2258.8996361793,-1552.58064167187
-2766.84157006944,-1655.46922529787,-2264.80699586243,-1556.71205768357
-2774.40830385751,-1660.34818803354,-2271.17248670857,-1560.93401218643
-2782.00992144246,-1665.22539659922,-2277.46326896419,-1565.36599874108
-2783.25860865464,-1666.23703242574,-2279.04968890268,-1566.7494121924
-2786.16123293721,-1668.05302084542,-2281.80851391299,-1568.65146961547
-2791.36439677265,-1671.27343557308,-2286.49291212353,-1571.56470420235
-2797.67679512638,-1675.13456273555,-2291.85838840338,-1575.26823293304
-2804.5251279138,-1679.35461151546,-2297.90110870307,-1579.3125987085
-2811.86532303504,-1683.88071322866,-2304.2917673813,-1583.51698319051
-2819.73432661883,-1688.59690452885,-2310.87549614018,-1587.93768523292
-2821.26644024886,-1689.59752753583,-2312.48760387614,-1589.02637736061
-2824.8216073096,-1691.40357567214,-2315.39732360899,-1591.11913714391
-2830.64247625035,-1694.75441836993,-2320.29388041251,-1594.67715973519
-2837.60338871541,-1698.71386526699,-2326.10947960576,-1599.01780792447
-2845.52102772012,-1703.11821786799,-2332.38911864847,-1603.38651710071
-2853.75454849263,-1707.91665818974,-2338.98596083166,-1607.84331369942
-2862.26118314351,-1712.91927662577,-2345.82294070386,-1612.51960658232
-2864.3429810677,-1714.23990052927,-2347.81721933953,-1613.96659972842
-2868.33168231058,-1716.56323663903,-2351.22409595851,-1616.46313418767
-2874.45617615004,-1720.25737110783,-2356.33579670837,-1619.99735145189
-2882.02090688028,-1724.66459661564,-2362.39663859056,-1624.09635991739
-2890.29513277683,-1729.47188525863,-2368.96931337873,-1628.617118648
-2899.03186835703,-1734.55862402909,-2375.78032430212,-1633.21554964617
-2907.97482293016,-1739.85073313077,-2382.80550136113,-1638.08701883302
-2910.90976233905,-1741.56438517329,-2384.92756782561,-1639.88538831408
-2915.75833400291,-1744.39894069443,-2388.2876737689,-1642.29998350898
-2922.36625923471,-1748.43041105169,-2393.44429437569,-1645.74643700857
-2930.22690450566,-1753.01077208274,-2399.62933600303,-1649.72774149497
-2938.69110160129,-1758.17274961777,-2406.05359838319,-1654.05455396439
-2947.48482068584,-1763.44611680264,-2412.84344201912,-1658.76334110926
-2956.5002960544,-1768.6706725442,-2419.75019110637,-1663.37140590701
