Achiever,Killer,Socializer,Explorer
-433.785670137822,-255.606343298091,-225.895800634683,-322.653197554329
-442.238378637956,-260.474473079717,-230.284416378306,-328.708874218225
-450.718472557232,-265.365858332456,-234.567885421157,-335.134027560518
-459.053257024806,-270.212963797194,-238.883160952781,-341.393620331863
-462.696396458684,-272.165458375563,-241.2223951424,-344.176699841638
-463.576223788859,-272.484004814092,-242.027161455215,-344.197919798641
-464.057890237625,-272.977824560461,-242.522197064197,-344.574923177553
-465.445317189422,-273.359041262276,-243.94172590376,-345.972466871471
-468.903129863856,-274.653776683518,-245.465888987124,-348.428057714486
-473.347550552533,-276.32144154671,-247.234191168144,-351.602827341918
-477.598268796234,-278.74359269923,-249.360723933716,-354.481739015329
-482.72523626244,-281.641336990207,-251.475182481736,-357.825681498264
-487.720131631278,-284.497233286211,-253.992357972702,-362.136816331391
-493.160853886083,-287.569363192139,-256.800823507885,-365.848286549441
-499.629485838119,-290.858931374429,-259.530159757776,-370.011961769052
-506.192124615238,-294.419242775205,-262.943635279897,-374.479101511405
-512.534724297168,-298.688853819493,-266.72574032079,-379.395746997112
-519.545260739434,-302.732341254679,-269.993848953038,-384.365522238076
-526.149481060033,-306.765574936788,-273.581107318323,-388.759029353472
-532.525543860868,-310.985124852144,-276.917948499626,-394.37488543274
-539.967563864449,-315.424513825772,-280.772128109873,-399.782653744823
-547.38965885185,-319.741481725282,-284.368857645359,-405.099761666087
-554.829688545938,-323.995381462457,-287.861440478932,-411.087532330922
-562.274544353174,-328.535888313996,-291.34707016898,-416.993708341061
-569.711697075176,-332.769722972903,-294.995346038403,-422.515937745393
-577.412166936239,-336.857282202092,-299.013752594264,-428.406264082962
-585.195022158099,-341.466731613794,-302.779934218931,-434.196170019849
-593.147288962116,-346.346067656099,-306.970698845608,-440.116355073361
-601.258219237375,-351.119437621512,-310.71455939607,-446.018113670525
-609.446416396945,-355.92580596104,-314.636040260651,-451.682502867871
-617.341783182171,-360.584117871445,-319.148778177173,-457.325835997235
-625.835762840719,-365.197943483329,-323.383272767058,-463.261892265421
-634.366430662569,-369.758595892939,-327.432501486033,-469.197266400951
-642.379394626661,-374.690669881838,-331.355733446404,-475.332414745231
-650.860950740185,-379.751466473005,-334.74261081833,-481.368861094954
-656.722629489694,-382.689493224993,-337.565843215494,-485.55457605867
-660.124621551023,-383.878686128813,-339.455604371248,-487.294390716271
-661.424084631976,-384.722053598075,-340.028143178436,-486.578882791976
-664.013102959594,-385.65431697174,-340.409462578695,-487.224486009733
-666.166867713142,-387.62560369638,-341.221109727848,-489.510701444213
-668.761585636002,-389.689303136482,-343.181620635418,-492.022497749065
-671.70485007012,-391.867820763063,-344.842016036463,-494.777012934961
-676.235245045102,-394.62304869553,-347.436827878152,-498.272276448015
-681.570155322261,-397.567913411458,-349.752518259021,-502.104060215037
-686.364417743122,-400.61052934856,-352.33089482203,-505.832668060031
-691.800520881338,-403.939438393057,-355.099174172053,-510.175014366018
-697.390573099997,-407.037173021875,-357.81779931959,-514.09562435243
-703.727684244066,-410.540448786797,-360.520861522321,-519.213036083002
-710.141924564249,-414.254520842974,-364.283525479596,-523.946288028522
-716.834703786927,-418.302839420502,-367.442637728313,-528.480126284559
-723.974673034264,-422.329790004004,-371.065897310437,-533.581146628213
-730.839756699045,-426.5055235605,-375.422305426493,-538.706516305511
-737.76313584737,-430.507002287715,-379.584629832515,-544.032541307118
-745.205451740749,-434.606524681548,-383.257704097976,-549.649532107479
-752.736325266197,-439.055457492719,-387.044718874582,-555.253346019933
-760.130742245371,-443.421277245411,-390.826756389253,-561.31029902526
-768.294405296672,-447.944829367231,-394.69257937464,-567.187007509301
-775.907587566159,-452.101674822791,-398.725202160222,-572.705945419461
-783.810227647659,-457.060032705532,-402.839274211136,-578.489227026913
-791.977401444186,-461.196172098448,-406.895857251814,-584.191184911412
-800.718281364816,-466.1040696824,-410.961177787581,-589.776711047573
-808.801009874785,-470.914171333645,-414.86766411348,-595.477257990824
-816.939161703958,-475.503433502267,-418.947295987263,-601.493935418747
-825.104567979315,-480.312677267399,-423.424517202847,-607.964940577752
-833.2071503453,-485.182574246746,-427.607658740567,-614.264132119272
-841.312849511526,-490.20699377059,-431.754757633336,-620.358300586092
-847.891936598474,-493.969425946989,-435.477800190498,-625.347090056349
-852.813660901709,-495.782400906563,-438.595769412,-628.692878162766
-854.682360841318,-496.209992858641,-440.15922720123,-629.761318611872
-856.910538952574,-497.896752059619,-441.333040387747,-631.270545388135
-859.346997332231,-499.207782516542,-441.908606481443,-632.847499881853
-861.887052959797,-500.152139202381,-443.277269842054,-634.527252883775
-865.435585345977,-502.385043200078,-445.116678545337,-637.030113085647
-869.698843926622,-504.374250174406,-447.209493178978,-640.492138382034
-874.251495566135,-507.06779682661,-449.594905787459,-644.141234895362
-879.229567531217,-509.863561801779,-451.989134263158,-648.050042471638
-884.403164548088,-513.05670412901,-454.650407955246,-652.503399489045
-890.15010706148,-516.362380689756,-457.563663153374,-656.71798963795
-896.14131564372,-520.409786747085,-460.830337426975,-661.29465587498
-902.46938577216,-524.287571566199,-464.337159389516,-666.107564759323
-908.962507001557,-528.00928678698,-467.719495019249,-671.202190209626
-915.304905184277,-532.31463809802,-471.097152036434,-676.64083292076
-921.532575905146,-536.493464123488,-474.862259555703,-681.366284868854
-928.754090655974,-540.571914881188,-478.709042413497,-686.305644249372
-936.200802603636,-544.655150462722,-482.607894970029,-691.74832087997
-943.374561186549,-549.454573455601,-485.865134377197,-697.31325882935
-950.701817636775,-554.227468910787,-489.752966502444,-703.318145082466
-958.300322916731,-558.567159676236,-493.756091183501,-709.462587078403
-965.845188041469,-563.182157521753,-497.871753135898,-715.146998191808
-973.595501824263,-567.704646871959,-501.963040256859,-720.78834714098
-981.528454608323,-572.373899676952,-505.62699443823,-726.479283811822
-989.564076851511,-577.444022602268,-509.536681395265,-732.900608506914
-997.82470721927,-582.321924742956,-513.654080314702,-738.863331555237
-1006.21533522634,-586.914998611076,-517.907712340598,-744.903481402295
-1014.7478167585,-591.855484101374,-522.219457871791,-750.847402201704
-1022.93146379123,-597.34292449457,-526.615358362597,-757.160227800669
-1031.61431972455,-602.363419574139,-531.158587552722,-763.400306750293
-1038.62173016418,-606.475868541425,-534.47051061143,-768.750767780284
-1044.16732562104,-608.981723311531,-537.47634773336,-772.000072355805
-1048.00024181127,-610.472112167429,-539.816863628902,-773.801454124304
-1050.29317225323,-611.456236656634,-541.735754231362,-774.689715226884
-1052.13188633175,-612.662300780408,-543.095345670573,-776.508089140631
-1054.90772583907,-614.598277451963,-545.150158292346,-778.87800569003
-1058.55566310456,-616.746011405801,-547.040903752025,-781.300318886944
-1062.2469827138,-619.014652092823,-549.041587433874,-783.772869403043
-1066.99625266444,-621.923870372869,-551.603810018074,-786.920674441403
-1072.10874175525,-624.914689357638,-553.496176074873,-790.715323205038
-1077.39219895221,-628.529113081179,-555.942764248135,-794.409439639781
-1083.49062614858,-632.437930259922,-558.638208086923,-798.808506026018
-1089.56392713553,-635.719430222567,-561.227601399178,-803.128237461445
-1095.93514019295,-639.183635798892,-564.807067994756,-807.916855728314
-1102.68941140313,-643.117089764059,-568.492819529327,-812.319431126713
-1109.23166565145,-646.786424882648,-572.211154511236,-816.982408399502
-1116.46513819916,-650.764787207701,-575.748912557486,-822.022304957709
-1124.02135481663,-655.127422914847,-579.318879385665,-827.384330095835
-1131.32484863217,-659.90113472823,-582.821524046685,-832.871098662633
-1138.74256787211,-664.627701076896,-586.866063543841,-838.598316774312
-1146.30755226526,-668.954338187209,-590.798157281875,-844.153211015613
-1154.18195997948,-673.479241310488,-594.666412888852,-850.27483528132
-1161.90301464376,-678.073407521291,-598.676259519428,-855.967163595191
-1169.69629657032,-682.628844765699,-602.558998075314,-861.881704341713
-1177.38575352352,-687.060601953109,-606.395545468799,-867.91341327558
-1185.41107878364,-691.749379937417,-610.199230268677,-873.852799590739
-1193.87637339011,-696.838659841473,-614.118554906253,-879.999127790981
-1202.24638061891,-701.816902675471,-618.279145648692,-886.270586023465
-1210.34623465216,-706.825190808844,-622.460848506276,-892.689800546162
-1218.67568085711,-711.570736322662,-626.859396774451,-899.367410340834
-1227.059754624,-715.805218692465,-630.693335313482,-906.067133491976
-1234.6541679313,-720.205908442417,-634.479404235245,-912.051273524159
-1240.70447864274,-723.363461918483,-637.742520378563,-916.672897559543
-1245.16353126735,-725.151442612162,-640.508156062887,-919.242195793045
-1248.81027651625,-726.511532219294,-642.682238209029,-921.410380415228
-1252.06379625053,-728.131746569652,-644.76110318159,-922.907004307079
-1254.7227419555,-729.700672218611,-646.196621218393,-924.656804863923
-1257.25359682891,-731.488391307555,-647.75367114251,-926.854085079124
-1260.91549698609,-733.834068522561,-649.230015615138,-929.307897327723
-1264.91615951609,-736.381673126039,-651.053340634347,-932.582590146639
-1269.70892483053,-739.040503117276,-653.642235044345,-936.114394157304
-1274.74376367307,-742.178243975635,-655.616958940583,-939.737283856387
-1279.90679489085,-745.169949729193,-658.021140161641,-943.645923838488
-1286.09117589708,-748.201531913207,-660.778429822963,-947.985514006054
-1292.56811739096,-752.196349931327,-664.03617193919,-953.242284693932
-1298.75627288426,-756.194900311454,-667.419635481888,-958.210235443446
-1305.35497885957,-759.754221083915,-670.96282008875,-963.604744157265
-1312.17689885059,-763.650794175586,-674.398467544845,-969.099123412344
-1319.10533486513,-767.892677833769,-677.67146606498,-974.123579794934
-1325.39773200702,-772.002007860842,-681.203913304387,-979.460009183197
-1332.29944047162,-775.999638549394,-685.069956870349,-985.514899686012
-1339.8280425447,-780.668588857693,-688.957315639933,-991.390981528045
-1347.53223193406,-785.191467554011,-692.845885845782,-997.076958110992
-1355.51993215006,-789.74284551562,-696.497413549279,-1002.8755607338
-1363.19638719227,-794.5919431002,-700.676832803159,-1008.66495531243
-1371.16978562528,-799.080700643773,-704.902184098144,-1014.30367230907
-1379.07933180287,-803.886223783467,-708.977326476508,-1020.15455599623
-1387.26559029551,-808.953001580159,-713.65203843726,-1026.25355971682
-1395.27989557097,-814.296251877631,-718.372061974961,-1032.40378996349
-1403.6403933141,-819.104375958989,-722.446437715843,-1038.44978455456
-1411.72589561292,-824.100674266931,-726.730411154728,-1044.51035889591
-1419.86114560502,-829.101724549761,-730.775023420527,-1050.51291270787
-1427.64783704362,-834.149550334706,-734.838720584234,-1056.29492469517
-1434.79852430422,-837.708847588306,-738.455084685894,-1061.29712626975
-1440.853788064,-840.500117264619,-741.649010420836,-1065.285489149
-1445.72952920458,-842.27360777876,-744.092273825466,-1068.66892955505
-1448.72792083747,-843.67481178079,-745.634254249342,-1071.20616352139
-1451.8899523827,-845.009112927683,-747.940968608995,-1073.85882868978
-1454.60881573883,-846.892993436474,-749.791010414672,-1075.45990062362
-1458.84809699095,-849.257257163826,-751.628413631195,-1078.2009872659
-1461.99611288532,-851.989577653523,-753.570095349897,-1081.41735058683
-1466.12361118417,-854.747682050522,-756.168771742955,-1085.26754452242
-1470.67142345297,-857.96363087603,-758.723714526803,-1089.44249562562
-1476.24639914321,-860.861632492528,-761.383082886253,-1093.91224349592
-1482.03663574856,-864.516118883409,-764.048118931278,-1098.11891027627
-1488.03027866405,-868.389106532203,-766.86969902011,-1102.46856913528
-1494.37360743107,-872.081539770467,-769.990397286491,-1107.73402139068
-1500.99402981207,-876.253098442404,-773.530958659605,-1112.55850742291
-1507.46878332758,-880.230007487325,-777.153437536624,-1117.29184451784
-1514.19107418925,-884.146047345324,-780.972656149302,-1122.18077043914
-1520.94048537164,-888.562179423169,-784.892649144671,-1127.09371082145
-1528.62739991689,-893.378962457171,-788.496043980299,-1132.45598666598
-1536.19589115617,-897.77698969288,-792.165799387526,-1137.33019582428
-1543.71357457249,-902.33135445377,-796.068468591917,-1142.97177669195
-1551.6296160511,-906.827858323806,-800.051187969079,-1148.49659356735
-1559.5199112496,-911.559867506368,-804.147267443536,-1153.96117161273
-1567.28413764656,-916.093809070738,-808.157474458504,-1159.21743913299
-1574.89500024842,-920.506175189216,-812.076011347123,-1165.02435168053
-1582.9662057637,-925.149591970605,-815.951402001722,-1170.69425045908
-1591.35454265547,-929.670656501282,-820.055677151894,-1176.52619705377
-1599.96709180712,-934.803186027092,-824.062023865617,-1183.01018571933
-1608.68400860795,-939.907193632642,-828.309135609186,-1189.17817069153
-1616.98452630994,-944.869379492797,-832.541941524588,-1195.42057743396
-1624.98290503277,-949.550027661716,-836.410291846875,-1201.44454755367
-1632.2647079566,-953.342593998988,-840.53410219997,-1206.86006321894
-1638.13854391733,-956.424549860779,-844.366991158268,-1210.78049976324
-1642.97487930128,-959.019130918056,-847.317203654401,-1214.28519935746
-1647.18338602709,-961.134593827246,-849.574530805306,-1217.25624027336
-1650.99537153883,-962.67514107694,-851.59799283016,-1219.42276468833
-1654.41176837934,-964.719355557603,-853.363095944376,-1221.54910662123
-1657.57439590285,-967.174034516916,-854.849634383336,-1223.63898312573
-1660.36441433184,-969.496744666568,-856.587177651381,-1227.22064021893
-1664.35952376361,-971.850647708977,-859.024639135287,-1230.28951393872
-1668.89523593961,-974.327737990979,-861.252038714626,-1233.93001927664
-1673.99097663671,-977.351287652695,-863.688599521396,-1237.88289795973
-1679.43204118557,-980.403070994192,-866.53515356611,-1241.99310687151
-1685.28171775762,-984.041470616617,-869.655999591211,-1246.72801843094
-1691.59104149938,-987.904968537191,-872.635122829489,-1251.66506148935
-1698.29813853397,-991.829031192832,-875.842645674544,-1256.13025948107
-1705.42087329162,-995.99330227151,-879.181958343509,-1261.31669866153
-1711.87259430617,-1000.15765849723,-882.808991163582,-1267.07962981392
-1718.70630621209,-1004.01005428581,-886.278172399734,-1272.61338606408
-1726.03920714946,-1008.23647482363,-890.27122759956,-1278.50138806843
-1733.39825532542,-1012.50480232136,-893.929459094464,-1283.90470881049
-1741.19515041891,-1016.7493114335,-897.623005910781,-1289.4747049827
-1749.30340286931,-1021.48897769127,-901.754907020313,-1294.72046508016
-1757.45402903966,-1026.62787387941,-905.193359306013,-1300.66294134103
-1765.67044731676,-1031.60027268719,-909.063132176848,-1306.47897367496
-1773.89223699243,-1036.43924649073,-913.089967088761,-1312.14925953498
-1782.01294114691,-1041.46128755437,-916.841359158248,-1318.3107423886
-1790.50257282652,-1046.41646001371,-920.918833007262,-1324.11172083384
-1798.87814495091,-1051.38601516891,-924.9883320281,-1330.11893434179
-1806.84642485699,-1056.0599296594,-928.920564695136,-1336.10805389574
-1815.42117899348,-1060.94632039297,-933.519674380879,-1342.30881055163
-1823.91745708904,-1066.10404846314,-937.816035681164,-1348.29828860867
-1831.5773721775,-1070.54965340747,-941.646342766001,-1353.76282187828
-1838.74403919843,-1073.9376136626,-945.176037687444,-1358.04484822498
-1844.78262908286,-1076.96953838802,-948.370073882079,-1361.90044996664
-1849.81595063636,-1079.06309186032,-951.151789258999,-1364.9400998299
-1854.22477684831,-1080.31815236373,-953.427294102922,-1367.81329432027
-1857.43515202721,-1082.46391680041,-955.906228503678,-1370.23814101563
-1860.76609277356,-1084.53530949367,-957.630107419281,-1373.0083877006
-1864.21302155454,-1086.91948105982,-959.204850043021,-1376.01419505906
-1868.65618236309,-1089.86457539087,-961.190107109623,-1378.79992276099
-1872.98986051171,-1092.49702266103,-963.314391163729,-1381.99209537336
-1877.55427455228,-1095.348350848,-966.114112886637,-1385.48937333711
-1882.34148903484,-1098.63759904173,-968.558561989524,-1389.11675605359
-1887.50701777948,-1101.94244486229,-971.134286096707,-1393.31191590319
-1893.24702630386,-1105.15469509115,-974.141303791927,-1397.46035230166
-1899.1501383627,-1108.72380901368,-977.365643300878,-1401.86221535339
-1905.15947826163,-1112.54061775297,-980.193091036867,-1407.3109461581
-1912.00671682777,-1116.68465489145,-983.701778583645,-1412.18592291347
-1918.66405413211,-1121.04789151276,-987.243738932467,-1417.14694246272
-1925.80053331315,-1125.05089323798,-990.584734489292,-1422.62360268563
-1933.07271250017,-1129.20124717926,-994.194829096738,-1427.83228562553
-1940.55626902395,-1133.60917613025,-997.900078394345,-1433.59034972648
-1948.72092195036,-1138.11835779356,-1001.86485073272,-1439.11135552578
-1957.02072731698,-1142.65405418782,-1006.03289675758,-1444.54547013683
-1964.74623969994,-1147.15734109327,-1009.95388375205,-1449.92066954948
-1972.53979432483,-1152.05265053431,-1013.49746190076,-1455.74790048313
-1980.71237795792,-1156.91812402547,-1017.29893931442,-1461.8637548063
-1988.85477655645,-1162.009056967,-1021.16912648741,-1468.11467276305
-1996.92825572988,-1166.49871925686,-1025.27658429678,-1474.5551690143
-2005.11777678883,-1171.2605215274,-1029.01134966168,-1480.62621107867
-2013.21743305812,-1176.11001233413,-1033.21609972847,-1486.7815079043
-2021.76960986079,-1180.70058778897,-1037.47724045176,-1492.99018535654
-2030.02971856817,-1185.24177738418,-1041.82917826694,-1499.09138318695
-2037.75660151996,-1189.34245029313,-1045.31223404501,-1504.41440603255
-2044.21922042914,-1192.26224694678,-1048.33755906444,-1508.65385933599
-2049.33552260562,-1194.85507937974,-1051.4071425079,-1512.41119382584
-2054.09938770825,-1197.16182924019,-1053.90455412939,-1514.76393944785
-2058.19325504391,-1198.7190375523,-1056.09542610027,-1517.73915465991
-2062.29995362602,-1201.29035313478,-1058.21339037404,-1520.833049877
-2066.20962556559,-1203.3498231475,-1060.31211833341,-1523.92135522414
-2070.14176828203,-1205.69529456995,-1062.27711122849,-1526.85103841731
-2073.73638052973,-1208.22737858593,-1064.27051202338,-1529.69032248666
-2077.6459497041,-1210.73608838105,-1065.95106931956,-1533.25188897645
-2082.25789504657,-1213.74561866206,-1068.03362690902,-1537.43537206237
-2088.27729853341,-1217.30837373388,-1071.01239635162,-1541.31519790664
-2094.54434116162,-1221.0772196421,-1073.70289272462,-1545.86472051859
-2100.78224738049,-1224.66593966919,-1077.15646802202,-1550.3155104121
-2107.19318274461,-1228.31343063251,-1080.72780725495,-1554.92819921744
-2114.1027858185,-1232.27724614357,-1083.67813241206,-1559.81712299112
-2120.68774984143,-1236.35367652191,-1086.97935527392,-1565.07047288539
-2127.89591616018,-1240.64898111311,-1090.47885212924,-1570.22708498258
-2135.28425961843,-1245.10986293916,-1093.94703056491,-1576.18713949735
-2142.69649050722,-1249.59199284771,-1097.69625182613,-1581.34582784123
-2150.12469133469,-1254.01026631943,-1101.48656125297,-1586.67193080801
-2157.74504282439,-1258.46101448405,-1105.13720388532,-1592.19853528649
-2165.32631831684,-1262.97792032527,-1109.19129257182,-1598.39782353295
-2165.59717704354,-1263.01794124943,-1109.68202479337,-1598.5224762769
-2164.52644720592,-1262.84866295712,-1108.39554320055,-1597.63346808485
-2164.73383099795,-1263.11346449159,-1108.34140149946,-1597.35004870418
-2166.87234723951,-1263.78337459399,-1109.84752369032,-1599.05813463327
-2170.83180247208,-1265.75121528698,-1112.06167124741,-1602.35844492556
-2176.17940005919,-1268.72161291699,-1114.45427086914,-1606.40594140064
-2177.12738781371,-1268.92517013101,-1115.04146197354,-1607.05575818906
-2179.97233709808,-1270.80279405757,-1116.00280691428,-1609.10847908259
-2184.79223872088,-1273.24587337379,-1117.98546778201,-1612.14545288975
-2190.01444066951,-1275.71853204782,-1120.68401726717,-1615.79864569131
-2195.29421720447,-1278.48595401218,-1123.97438558931,-1619.32547251147
-2200.53714454409,-1281.25595616918,-1126.78417016109,-1623.26945607175
-2205.03066737525,-1283.89878182411,-1130.0795474368,-1626.11900513632
-2203.13206003798,-1282.13255877041,-1129.73073391086,-1624.40695058948
-2202.70565668502,-1281.89956021671,-1130.56110019953,-1624.31742904723
-2204.86051784378,-1283.34075455762,-1131.71494572104,-1626.16530057124
-2208.04791796428,-1285.52515430442,-1133.7408763641,-1628.47042295048
-2212.29202326572,-1288.36378500152,-1135.87238926667,-1632.15556073613
-2217.31115196886,-1291.88552722887,-1138.43494643703,-1636.47050278749
-2223.15417262688,-1295.65387846623,-1141.48668193305,-1640.88923244742
-2223.06374598894,-1296.06585191745,-1141.1627241894,-1641.04419181844
-2225.15942716543,-1297.1150991808,-1142.16730219412,-1642.97413777417
-2229.75129409802,-1299.54256470961,-1144.78434424767,-1646.60150480333
-2235.75883457733,-1303.08854791989,-1148.444210245,-1651.45566420609
-2242.77163826579,-1307.24525448887,-1152.11625799609,-1656.82293249258
-2250.34390548101,-1311.74509431921,-1155.76083558707,-1662.09515080356
-2258.00380091828,-1316.23600212592,-1159.84038624384,-1667.91467166428
-2259.13376080937,-1317.42118363211,-1160.07134901973,-1669.06159351725
-2262.63207143665,-1319.59584836773,-1161.95885603415,-1671.71328084036
-2267.89891183118,-1322.97845868718,-1164.77826148491,-1675.84753974172
-2274.8415442553,-1327.01630761245,-1168.33934220714,-1680.89844636712
-2282.62393048262,-1331.65251242113,-1172.3690094894,-1686.9984599913
-2291.08764414701,-1336.71928716663,-1176.31272878749,-1693.22108872499
-2299.3367793566,-1341.7173433135,-1180.54110800096,-1700.11086503701
-2301.80443149036,-1343.38338896105,-1181.9335119206,-1702.05877260639
-2306.87112483068,-1345.97548007495,-1183.98045472482,-1704.90717692904
-2313.19475081871,-1349.87940148924,-1187.17687797454,-1709.70004796465
-2320.87777855076,-1354.19958205335,-1190.74107626076,-1715.44511369065
-2329.14259021071,-1359.06727240134,-1194.76430377815,-1721.29898127049
-2337.22634455033,-1363.58314188258,-1199.16470198681,-1727.29180753794
-2345.26716131767,-1367.52880129853,-1203.47038614787,-1733.01937648958
-2345.82773704843,-1367.32533786136,-1203.67895007907,-1733.87221566896
-2347.40873018508,-1367.7086079642,-1204.63525789679,-1734.60172024302
-2349.9654276139,-1368.7907843645,-1207.18533266624,-1736.50215194376
-2353.5130165337,-1370.37934474298,-1208.91981841088,-1739.01155026479
-2357.51720554289,-1372.31619438726,-1211.35918157972,-1742.04965025546
-2361.78811422602,-1375.11314769982,-1214.37249137335,-1745.25325310406
